id,authors,title,average_rating
1,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",4.34
2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44
3,Stephenie Meyer,"Twilight (Twilight, #1)",3.57
4,Harper Lee,To Kill a Mockingbird,4.25
5,F. Scott Fitzgerald,The Great Gatsby,3.89
6,John Green,The Fault in Our Stars,4.26
7,J.R.R. Tolkien,The Hobbit,4.25
8,J.D. Salinger,The Catcher in the Rye,3.79
9,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",3.85
10,Jane Austen,Pride and Prejudice,4.24
11,Khaled Hosseini,The Kite Runner,4.26
12,Veronica Roth,"Divergent (Divergent, #1)",4.24
13,"George Orwell, Erich Fromm, Celâl Üster",1984,4.14
14,George Orwell,Animal Farm,3.87
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,4.1
16,"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",4.11
17,Suzanne Collins,"Catching Fire (The Hunger Games, #2)",4.3
18,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53
19,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34
20,Suzanne Collins,"Mockingjay (The Hunger Games, #3)",4.03
21,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46
22,Alice Sebold,The Lovely Bones,3.77
23,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37
24,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53
25,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61
26,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",3.79
27,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54
28,William Golding,Lord of the Flies,3.64
29,"William Shakespeare, Robert           Jackson",Romeo and Juliet,3.73
30,Gillian Flynn,Gone Girl,4.03
31,Kathryn Stockett,The Help,4.45
32,John Steinbeck,Of Mice and Men,3.84
33,Arthur Golden,Memoirs of a Geisha,4.08
34,E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",3.67
35,"Paulo Coelho, Alan R. Clarke",The Alchemist,3.82
36,Lois Lowry,"The Giver (The Giver, #1)",4.12
37,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19
38,Audrey Niffenegger,The Time Traveler's Wife,3.95
39,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45
40,Elizabeth Gilbert,"Eat, Pray, Love",3.51
41,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23
42,Louisa May Alcott,"Little Women (Little Women, #1)",4.04
43,"Charlotte Brontë, Michael Mason",Jane Eyre,4.1
44,Nicholas Sparks,"The Notebook (The Notebook, #1)",4.06
45,Yann Martel,Life of Pi,3.88
46,Sara Gruen,Water for Elephants,4.07
47,Markus Zusak,The Book Thief,4.36
48,Ray Bradbury,Fahrenheit 451,3.97
49,Stephenie Meyer,"New Moon (Twilight, #2)",3.52
50,Shel Silverstein,Where the Sidewalk Ends,4.29
51,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",4.12
52,Stephenie Meyer,"Eclipse (Twilight, #3)",3.69
53,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",3.86
54,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2
55,Aldous Huxley,Brave New World,3.97
56,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",3.7
57,Sue Monk Kidd,The Secret Life of Bees,4.01
58,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,3.8
59,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,4.15
60,Mark Haddon,The Curious Incident of the Dog in the Night-Time,3.85
61,Paula Hawkins,The Girl on the Train,3.88
62,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",3.94
63,"Emily Brontë, Richard J. Dunn",Wuthering Heights,3.82
64,Jodi Picoult,My Sister's Keeper,4.06
65,Kurt Vonnegut Jr.,Slaughterhouse-Five,4.06
66,Margaret Mitchell,Gone with the Wind,4.28
67,Khaled Hosseini,A Thousand Splendid Suns,4.34
68,Stephen Chbosky,The Perks of Being a Wallflower,4.21
69,Veronica Roth,"Insurgent (Divergent, #2)",4.07
70,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",4.3
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,3.75
72,Stephen King,The Shining (The Shining #1),4.17
73,Stephenie Meyer,"The Host (The Host, #1)",3.84
74,John Green,Looking for Alaska,4.09
75,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",3.75
76,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,4.06
77,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",3.93
